address,score
bc1qnrrhj3vvufmztz5c3nz9g67krh35tfxsnltzvc,25.0
bc1q3hcvnqzrwnk3tcs5t8cdahrccwu4jy732lhhvq,25.0
bc1qg4g8qtzmasr4pdnytlxhzutdn6x5ns4t67uur4,25.0
bc1qnv6dlmtm83tvhzuqcl8rgh9jth79xzffqywavc,25.0
bc1q9qqrcfgs7ekw38edjw3d83dgqdwlf9vuj4qxcz,25.0
bc1q88vrfwd5a7nuvq0kdhe7alk4p4vkhtanprjv0q,25.0
bc1q0edwxmqg3een84z8dl3j7yt3pzkyu5ef7p94ss,25.0
bc1qta7uf7w0cmtnaxc5pa57fu0zc9kf07vtqj48as,25.0
bc1qs3sxteurjjw39r0u6ddaqhtgwvltf3p2kzcpxt,25.0
bc1qa9epdzqw0v69jkc3grl9cq0r4nt38zgphccte5,25.0
bc1q6c43vjdf6qke3qpfvfrwev68x5p893srs2p9ne,25.0
bc1qtt0dpvecmavzmqk0ny7s40877vc42323542mzv,25.0
bc1qr3dj4jz2j2fe6r8n33fv38aj9k2vh5g56lyvp7,25.0
bc1qu29h2u5y2vxph0pn9vzzl3kmsnl9g44ar7rdyu,25.0
bc1quch57mkq2wxa5f94x3zsmqyaq74567fnj7j5yt,25.0
bc1qmu2q77smye4k5w3s7e75mu7ep5xyd5g3rdeuej,25.0
bc1qd7vh89kzxp34ays7u0sydan9vyuaya8hj7mnyy,25.0
bc1qewgan7fdamydmnuyj7yu43xt2tadvzsmr4j70r,25.0
bc1qxmjzeaw0jrye8pcc2289elf835cvj89qusq0az,25.0
bc1qjgfz9qmdhvvu697wf6eghxxzzsgrl6eea47nu5,25.0
bc1qd3ej2en205skj9lh802kslwghqsr7e2h5gvyx8,25.0
bc1qmapmun9nadx9q3thrrcmu5mw6w9v7tzalmsnct,25.0
bc1q7jvzzckfzcpsql02hna3ckq4schwm0r28khpvv,25.0
bc1qpeveuvrjs5ynzm6sx0tt4zem5p4y22yr2p87uv,25.0
bc1qeumrfyl5sfhnfeg00cz86sa2c9s7tqjz9c0vuc,25.0
bc1q9ru03naydw49rxjhcz0uu4wxugsvfkhmg8x5y6,12.5
bc1q5w9fpnwlnv5w9697zrq9lsv8lu83p09q9ekj39,12.5
bc1qlpz6ypkfj9r56uuuetvchn0wv23axca3w3r79n,6.25
bc1qgg9elpqnp37wjjfg0akdv6yvsq0r3uvdzjf9ny,6.25
