address,in_btc,out_btc,balance,in_degree,out_degree,unique_in_degree,unique_out_degree,mean_in_btc,mean_out_btc,first_active,last_active,max_in_btc,min_in_btc,max_out_btc,min_out_btc,in_standard_deviation,out_standard_deviation,in_transaction_frequency,out_transaction_frequency,in_amount_frequency,out_amount_frequency
bc1qwukmzzjqn5hwsp4uaswc4c53gc0xz5asrv0prx,0.21137,0.20128962,0.01008038,25,23,3,7,0.0084548,0.008751722608695653,2022-05-26T17:58:58Z,2023-02-06T20:19:09Z,0.02,7.208e-05,0.004999999999999999,6.520000000000035e-06,0.008591448206447793,0.0008502802132820685,0.09765625,0.08984375,0.0008256640625,0.000786287578125
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,3561658.95258074,3393648.96417153,168009.98840921,108,31,77,5,32978.323635006855,109472.54723133969,2019-08-16T10:00:29Z,2023-02-23T19:35:23Z,50000.0,7.420000000000001e-07,16000.000000000002,3.200000000000003e-05,8393.343279000163,4153.230619272572,0.08391608391608392,0.024087024087024088,2767.411773567009,2636.867882029161
