address,in_btc,out_btc,balance,in_degree,out_degree,unique_in_degree,unique_out_degree,mean_in_btc,mean_out_btc,first_in_tx_timestamp,first_out_tx_timestamp,last_in_tx_timestamp,last_out_tx_timestamp,max_in_btc,min_in_btc,max_out_btc,min_out_btc,in_standard_deviation,out_standard_deviation,in_transaction_frequency,out_transaction_frequency,in_amount_frequency,out_amount_frequency
bc1qwukmzzjqn5hwsp4uaswc4c53gc0xz5asrv0prx,0.20128962,0.21137,0.01008038,2,7,2,7,0.10064481,0.030195714285714288,2022-05-26,2022-05-26,2023-02-06,2023-02-06,0.02,0.00047842,0.00825,1.0000000000000058e-05,0.00976079,0.0027833653505211333,0.0078125,0.02734375,0.000786287578125,0.0008256640625
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,3393648.96417153,3561658.94193316,168009.97776162997,76,5,76,5,44653.27584436224,712331.788386632,2020-02-02,2020-01-16,2021-11-12,2023-01-21,226655.13373367078,7.420000000000001e-07,177499.99999999997,0.015524920000002327,28870.947448486357,70106.9666115788,0.11710323574730354,0.004541326067211626,5229.043088091726,3234.9309191036878
